Game Title,Platform,IGN Game Score,Genre
Sportsfriends,PC,8.7,"Action, Compilation"
Tesla Effect: A Tex Murphy Adventure,PC,6.8,Adventure
FTL: Faster Than Light,PC,9.6,Simulation
Octodad: Dadliest Catch,PC,7.8,Adventure
The Banner Saga,PC,8.6,"Strategy, RPG"
Legends of Aethereus,PC,4.7,"Action, RPG"
Takedown: Red Sabre,PC,4,Shooter
Guncraft,PC,6.4,Shooter
Shadowrun Returns,PC,7.3,RPG
Akaneiro: Demon Hunters,PC,4.5,RPG
Strike Suit Zero,PC,7.5,Shooter
Guns of Icarus Online,PC,7.3,Shooter
Chivalry: Medieval Warfare,PC,7.9,Adventure
Resonance,PC,7,Adventure
